hospital_id,hospital_type,city_region,blood_type,day_of_week,month,season,temperature_c,rainfall_mm,dengue_cases_weekly,road_accidents,emergency_cases,scheduled_surgeries,holiday,blood_donation_camp,current_inventory,expected_demand_units
18,Trauma,Semi-Urban,O+,5,5,Summer,35.4,8.9,8,10,20,0,0,0,213,79
16,General,Semi-Urban,O-,6,11,Summer,36.5,14.3,9,11,15,4,0,0,80,69
1,Trauma,Rural,O+,7,2,Winter,11.7,4.1,7,10,19,1,0,0,150,67
9,General,Urban,B+,7,4,Summer,31.2,11.3,7,15,13,2,0,0,108,71
11,General,Semi-Urban,A+,2,12,Winter,19.1,1.2,6,10,8,11,0,0,116,68
25,General,Semi-Urban,O+,6,1,Winter,12.2,5.4,4,11,11,0,0,1,112,55
6,General,Urban,O+,3,6,Monsoon,21.7,56.8,8,7,8,7,0,1,164,68
7,Trauma,Urban,O-,3,3,Summer,33.2,6.1,2,6,13,10,0,0,218,93
11,General,Semi-Urban,O+,5,7,Monsoon,28.5,61.3,9,11,16,9,0,0,102,75
25,General,Semi-Urban,O+,5,12,Winter,19.6,6.4,9,7,9,7,0,1,105,61
22,Clinic,Urban,O+,3,3,Summer,38.7,7.6,8,15,5,2,0,0,54,44
1,Trauma,Rural,A+,7,5,Summer,34.2,10.4,9,12,17,3,0,0,150,71
6,General,Urban,B+,2,6,Monsoon,25.9,265.2,24,17,18,5,0,0,150,96
21,General,Urban,B-,1,10,Summer,30.1,8.0,7,8,9,9,0,0,161,71
2,Trauma,Semi-Urban,O+,1,12,Winter,16.8,2.9,9,11,18,4,0,0,229,88
22,Clinic,Urban,B-,6,2,Winter,20.1,3.2,6,10,2,8,0,0,50,43
8,Clinic,Rural,O+,3,6,Monsoon,29.3,58.2,9,11,5,1,0,0,20,29
23,General,Semi-Urban,O+,4,10,Summer,34.8,10.0,4,5,5,13,0,0,97,60
8,Clinic,Rural,AB+,5,1,Winter,19.6,3.5,3,7,2,11,0,0,20,32
11,General,Semi-Urban,A-,4,10,Summer,37.8,7.6,1,8,7,1,0,1,139,45
17,Trauma,Semi-Urban,O-,5,3,Summer,34.2,2.0,6,5,9,1,0,0,170,60
4,Clinic,Semi-Urban,O+,1,7,Monsoon,31.1,23.9,7,7,4,5,0,0,22,35
14,Trauma,Semi-Urban,O+,2,12,Winter,15.8,3.1,7,13,27,8,0,1,189,101
13,Clinic,Rural,A+,7,8,Monsoon,26.8,210.2,36,22,7,1,0,0,20,61
20,General,Urban,O+,4,12,Winter,16.6,2.5,3,10,8,2,0,0,150,61
25,General,Semi-Urban,O+,2,8,Monsoon,29.4,96.2,8,11,11,5,0,0,95,63
17,Trauma,Semi-Urban,O-,3,3,Summer,31.0,23.7,7,13,17,4,0,0,156,84
11,General,Semi-Urban,O+,3,9,Monsoon,26.0,111.8,19,9,13,4,0,0,108,71
11,General,Semi-Urban,A+,2,8,Monsoon,21.4,79.9,12,11,6,6,0,1,132,61
11,General,Semi-Urban,B+,3,4,Summer,35.8,10.1,9,8,9,7,0,0,111,59
