hospital_id,hospital_type,blood_type,temperature_c,dengue_cases_weekly,day_of_week,month,units_demanded
7,General,AB_POS,35.2,203,6,4,31
4,Trauma,AB_NEG,35.7,160,4,7,43
8,General,O_POS,36.7,27,1,3,21
5,General,B_NEG,28.9,256,3,2,32
7,Trauma,O_POS,27.1,164,6,10,32
3,General,A_POS,31.3,62,6,2,13
7,Trauma,O_NEG,27.9,21,4,1,37
8,General,AB_POS,31.6,69,5,5,11
5,General,O_POS,33.3,95,5,12,23
4,General,O_NEG,33.0,162,7,6,39
8,Trauma,A_NEG,28.0,78,6,6,25
8,Clinic,A_NEG,24.7,4,1,9,7
3,Clinic,O_NEG,28.9,119,3,4,17
6,General,O_NEG,24.3,177,6,1,38
5,Trauma,A_POS,36.2,175,2,6,41
2,General,B_NEG,27.5,216,3,5,26
8,General,AB_POS,24.5,55,7,10,16
6,Clinic,B_POS,22.4,186,5,6,22
2,General,A_POS,32.3,231,6,3,32
5,General,B_NEG,32.2,254,4,2,29
1,General,O_NEG,27.4,103,2,6,23
6,General,B_POS,23.1,76,6,1,14
9,General,O_NEG,28.6,229,7,7,31
1,Trauma,O_NEG,27.0,257,1,7,46
3,General,A_NEG,32.8,263,2,10,29
7,Clinic,A_NEG,31.7,181,7,7,22
4,Clinic,B_POS,27.8,255,6,12,24
9,General,A_POS,25.5,37,1,11,12
3,General,A_NEG,37.8,175,2,10,32
5,General,AB_POS,29.3,26,1,1,14
3,Trauma,O_NEG,33.0,275,1,4,47
7,General,AB_NEG,24.2,139,2,7,19
5,Trauma,O_POS,29.8,298,2,11,37
9,General,B_POS,22.4,286,1,9,26
7,Trauma,B_POS,30.1,90,7,5,23
2,General,A_NEG,37.4,60,5,2,21
4,General,A_POS,28.1,162,2,7,26
9,Clinic,O_NEG,22.6,142,6,10,20
2,Trauma,AB_POS,22.5,252,3,1,37
9,General,A_POS,28.2,268,4,7,29
5,Clinic,B_NEG,24.6,290,1,6,20
2,General,B_NEG,22.4,186,1,7,25
4,Clinic,AB_NEG,34.1,290,4,10,25
7,Trauma,A_NEG,29.3,85,5,3,25
8,General,A_NEG,26.6,165,4,3,26
3,General,A_NEG,36.4,113,2,7,24
1,General,AB_NEG,23.9,182,4,2,31
4,Trauma,B_NEG,37.3,206,1,1,42
2,Trauma,A_POS,27.0,255,4,9,38
8,General,AB_NEG,36.2,234,3,9,31
4,General,AB_NEG,31.6,2,6,7,13
2,Clinic,A_POS,35.2,207,2,7,26
6,Clinic,A_NEG,37.7,196,4,3,28
6,Trauma,AB_POS,26.6,124,1,10,28
4,General,A_POS,37.4,137,7,2,21
6,General,B_NEG,28.2,24,6,11,12
2,General,B_POS,28.2,67,2,7,14
2,Clinic,O_NEG,27.4,60,1,9,15
4,General,B_POS,30.7,28,5,1,17
8,Trauma,O_POS,24.5,18,3,4,24
7,General,O_POS,30.9,170,5,6,27
9,Trauma,AB_NEG,30.7,73,3,7,26
8,Trauma,O_NEG,34.2,60,4,10,43
5,Clinic,B_POS,35.3,152,2,7,27
2,General,AB_POS,29.0,275,4,10,27
5,General,A_NEG,26.8,47,3,2,13
8,General,B_NEG,26.1,210,3,4,30
9,Clinic,O_POS,25.1,138,3,5,10
9,Clinic,AB_POS,22.9,109,6,12,13
1,Trauma,B_NEG,27.5,182,1,1,39
9,Trauma,B_NEG,26.3,27,2,1,24
